date,state,parlimen,dun,sex,age,ethnicity,population
1/1/2020,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,39.618
1/1/2020,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,39.367
1/1/2020,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.251
1/1/2020,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.24
1/1/2020,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.378
1/1/2021,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40
1/1/2021,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,39.7
1/1/2021,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.3
1/1/2021,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.4
1/1/2021,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.5
1/1/2022,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.3
1/1/2022,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,40
1/1/2022,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.3
1/1/2022,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.6
1/1/2022,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.7
1/1/2020,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.6
1/1/2020,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.663
1/1/2020,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,0.937
1/1/2020,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.392
1/1/2020,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.208
1/1/2021,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.8
1/1/2021,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.7
1/1/2021,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,1.1
1/1/2021,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.5
1/1/2021,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.3
1/1/2022,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,21
1/1/2022,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.8
1/1/2022,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,1.1
1/1/2022,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.6
1/1/2022,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.4
1/1/2020,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.171
1/1/2020,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.073
1/1/2020,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.098
1/1/2020,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.123
1/1/2020,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.048
1/1/2021,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.3
1/1/2021,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.2
1/1/2021,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.1
1/1/2021,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.2
1/1/2021,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.1
1/1/2022,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.4
1/1/2022,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.3
1/1/2022,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.1
1/1/2022,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.2
1/1/2022,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.1
1/1/2020,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.694
1/1/2020,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.591
1/1/2020,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.103
1/1/2020,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.464
1/1/2020,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.23
1/1/2021,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.8
1/1/2021,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.7
1/1/2021,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.1
1/1/2021,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.5
1/1/2021,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.3
1/1/2022,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.9
1/1/2022,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.8
1/1/2022,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.1
1/1/2022,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.6
1/1/2022,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.3
1/1/2020,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.249
1/1/2020,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.208
1/1/2020,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0.041
1/1/2020,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.13
1/1/2020,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.119
1/1/2021,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.3
1/1/2021,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.3
1/1/2021,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0
1/1/2021,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.2
1/1/2021,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.2
1/1/2022,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.4
1/1/2022,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.4
1/1/2022,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0
1/1/2022,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.2
1/1/2022,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.2
1/1/2020,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,44.555
1/1/2020,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,42.117
1/1/2020,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.438
1/1/2020,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.26
1/1/2020,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.295
1/1/2021,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,45
1/1/2021,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,42.7
1/1/2021,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.3
1/1/2021,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.5
1/1/2021,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.5
1/1/2022,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,45.4
1/1/2022,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,43.1
1/1/2022,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.2
1/1/2022,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.7
1/1/2022,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.7
1/1/2020,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,49.583
1/1/2020,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,47.898
1/1/2020,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.685
1/1/2020,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.184
1/1/2020,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.399
1/1/2021,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,50.1
1/1/2021,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,48.5
